bytes,xx,sip24,btree,fnv,horner,sip13
1,55183,51537,74115,26711,44380,44712
2,56867,54086,76457,47046,46413,46107
4,60966,59153,89507,49584,48305,56383
8,61378,61047,90080,59870,49809,51134
16,68513,71177,100306,79253,61856,59944
32,81681,71559,99876,100300,55193,56136
64,85569,92419,106826,150197,68748,70249
128,93856,143784,110609,222681,77962,92930
256,114099,228255,123058,405942,106409,148843
512,174162,404130,129771,761641,153903,245853
1024,275474,734292,152064,1499852,245770,441943
2048,472873,1424619,240096,2986786,456278,823687
